ID_ESTADO;NOMBRE_ESTADO_HUMANO;DESCRIPCION_FUNCIONAL;MENSAJE_BOT_VISIBLE;TIPO_DE_ENTRADA_ESPERADA;EJEMPLOS_ENTRADA_USUARIO;BOTONES_VISIBLES_ETIQUETA;BOTONES_TOKENS_INTERNOS;SIGUIENTE_ESTADO_OK;SIGUIENTE_ESTADO_ERROR;REGLAS_DE_VALIDACION;CONDICIONES_ESPECIALES;DERIVACION_O_ESCALADO;TONO_Y_ESTILO;PRIORIDAD_MEJORA;NOTAS_DEL_HUMANO;VARIABLES_ACTUALIZADAS;FUENTE_MENSAJE;CAMPOS_TICKET_AFECTADOS;BOTONES_CONDICION
ASK_LANGUAGE;Selección de idioma + GDPR;Obtener consentimiento GDPR y elegir idioma;"ES: ✅ Gracias por aceptar. 🌍 Elegí tu idioma para seguir. Sin consentimiento no puedo continuar. EN: ✅ Thanks for accepting. 🌍 Pick your language to continue. Without consent I cannot continue.";TEXTO_LIBRE,BOTON;"sí acepto; no acepto; español; english";"Español; English";"BTN_LANG_ES_AR, BTN_LANG_EN";"BTN_LANG_ES_AR → ASK_NAME | BTN_LANG_EN → ASK_NAME | Aceptación por texto mantiene ASK_LANGUAGE hasta idioma";"Rechazo → ENDED; no entendido → ASK_LANGUAGE";"Requiere match de consentimiento antes de avanzar";"Mantener en estado hasta idioma; no entendido reintenta";"Rechazo GDPR corta chat (END_CONVERSATION)";"Bilingüe informal profesional con emojis, trato de vos en ES";ALTA;;"gdprConsent, locale";flows/flowDefinition.js;;"Botones visibles solo tras consentimiento"
ASK_NAME;Solicitar nombre o anonimato;Capturar nombre o aceptar usuario anónimo;"ES: ¿Cómo te llamás? 😊 Podés seguir anónimo si querés. EN: What’s your name? 😊 You can stay anonymous if you prefer.";TEXTO_LIBRE,BOTON;"Sofía; prefiero no decir; omití mi nombre";"Prefiero no decir mi nombre";"BTN_NO_NAME";"BTN_NO_NAME → ASK_NEED | Nombre válido → ASK_NEED";"Nombre inválido/no entendido → MISMO_ESTADO (validación)";"Validación con isValidName en orchestrator; regex de anonimato";"Permite anonimato explícito";"";"Informal profesional con emojis, trato de vos";ALTA;;"userName (o null)";flows/flowDefinition.js;"Nombre puede poblar ticket";"Botón siempre visible"
ASK_NEED;Tipo de necesidad (problema o consulta);Determinar si es problema técnico o consulta/how-to;"ES: ¿Tenés un problema técnico o una consulta? EN: Do you have a tech problem or a question?";TEXTO_LIBRE,BOTON;"tengo un problema; es una consulta; how to install";"Tengo un problema; Es una consulta";"BTN_PROBLEMA, BTN_CONSULTA";"BTN_PROBLEMA → ASK_DEVICE; BTN_CONSULTA → ASK_HOWTO_DETAILS; texto problema/consulta idem";"Ambiguo → CLASSIFY_NEED; no entendido → CLASSIFY_NEED/ASK_NEED";"Regex problema/consulta";"Puede invocar clasificación AI";"";"Informal profesional con emojis";ALTA;"Unificar copy con CLASSIFY_NEED para evitar repetición";"needType";flows/flowDefinition.js;"Tipo de necesidad para ticket";"Botones siempre visibles"
CLASSIFY_NEED;Clasificar necesidad con AI;Usar smartAnalysis para decidir problema vs consulta;"ES: Elegí si tenés un problema técnico o una consulta. EN: Choose if you have a technical issue or a question.";TEXTO_LIBRE,BOTON;"no anda la pc; quiero aprender a configurar";"Problema; Consulta";"BTN_PROBLEMA, BTN_CONSULTA";"AI problem → ASK_DEVICE; AI howto → ASK_HOWTO_DETAILS; fallback con botones → ASK_NEED";"Fallback sin confianza → ASK_NEED";"Depende de smartAnalysis.intention";"Mostrar botones solo si baja confianza";"";"Informal profesional con emojis";MEDIA;"Evitar doble pregunta; fallback breve con botones";"needType (AI)";flows/flowDefinition.js;"Tipo de necesidad para ticket";"Botones solo en fallback de baja confianza"
ASK_DEVICE;Elegir tipo de dispositivo;Capturar dispositivo (desktop/all-in-one/notebook) antes de pedir problema;"ES: 📌 ¿Qué tipo de equipo es? Elegí o contame. EN: 📌 What type of device is it? Pick or tell me.";TEXTO_LIBRE,BOTON,IMAGEN;"notebook; pc de escritorio; all in one; foto del equipo";"PC de escritorio; All-in-one; Notebook";"BTN_DEV_PC_DESKTOP, BTN_DEV_PC_ALLINONE, BTN_DEV_NOTEBOOK";"BTN_DEV_* → ASK_PROBLEM; texto/imagen detecta device → ASK_PROBLEM";"Ambiguo → DETECT_DEVICE; botón desconocido → ASK_DEVICE";"Regex dispositivo; smartAnalysis.device; Vision device";"Si ambiguo dispara desambiguación";"";"Informal profesional con emojis";ALTA;"Agregar instrucción corta para fotos: foto frontal del equipo";"device";flows/flowDefinition.js;"Dispositivo en ticket";"Botones siempre; usar imagen opcional si usuario la envía"
DETECT_DEVICE;Desambiguar dispositivo;Resolver ambigüedad de tipo de dispositivo;"ES: No me quedó claro el tipo de equipo. Decime si es PC de escritorio, All-in-one o Notebook. EN: I’m not sure which device you have. Tell me if it is a desktop PC, all-in-one, or notebook.";TEXTO_LIBRE;"es una all in one; es notebook";"";"";"PROCESS_DISAMBIGUATION → ASK_PROBLEM";"MISMO_ESTADO si no hay claridad";"Apoya en deviceDetection";"Se usa solo si hubo ambigüedad previa";"";"Neutro breve";BAJA;"Opcional: agregar botones de dispositivo si se necesita en el futuro";"device";flows/flowDefinition.js;"Dispositivo en ticket";"Se usa tras ambigüedad; sin botones actuales"
ASK_PROBLEM;Describir problema técnico;Registrar problema genérico (texto o imagen) y pasar a pruebas básicas;"ES: Contame qué problema tiene tu equipo. Podés mandar una foto/captura si ayuda. EN: Tell me the issue with your device. You can send a photo/screenshot if it helps.";TEXTO_LIBRE,IMAGEN;"no enciende; pantalla azul; error 0x0000; foto del error";;;"GENERATE_DIAGNOSTIC → BASIC_TESTS; imagen error → BASIC_TESTS; pedir mejor imagen → ASK_PROBLEM";"Imagen de baja calidad → ASK_PROBLEM";"";"Vision: detecta error o pide nueva foto";"";"Informal profesional con emojis";MEDIA;"Confirma con resumen corto y avanza a pruebas básicas";"problem, imageAnalysis";flows/flowDefinition.js;"Descripción del problema para ticket";"—"
ASK_HOWTO_DETAILS;Detalles de consulta HOWTO;Recoger qué quiere aprender/configurar;"ES: Contame qué querés hacer o configurar. Decime OS/modelo si aplica. Podés mandar captura. EN: Tell me what you want to do or set up. Share OS/model if relevant. You can send a screenshot.";TEXTO_LIBRE,IMAGEN;"configurar impresora; instalar Office; cómo compartir wifi; captura pantalla";;;"GENERATE_HOWTO";"MISMO_ESTADO si la imagen no sirve (reintentar)";"";"Puede usar Vision screenDetected";"";"Informal profesional con emojis";MEDIA;"Incluye resumen corto de la consulta antes de generar guía";"query, imageAnalysis";flows/flowDefinition.js;"Consulta puede poblar ticket";"—"
GENERATE_HOWTO;Generar guía HOWTO;Generar pasos para la consulta;"ES: Generando tu guía con pasos claros. Dame un momento… EN: Creating your guide now. One moment…";TEXTO_LIBRE;"(sistema)";"";"";"CREATE_HOWTO_GUIDE → ENDED";"MISMO_ESTADO si falla generación (no definido)";"";"";"Neutro, conciso";MEDIA;"Incluir siempre resumen breve + pasos numerados + tiempo estimado";"howtoGuide";flows/flowDefinition.js;;"—"
BASIC_TESTS;Pruebas básicas;Guiar y recoger resultado de pruebas básicas;"ES: Probemos lo básico. Avisame si se solucionó o si sigue. EN: Let’s try basics. Tell me if it’s fixed or still broken.";TEXTO_LIBRE,BOTON;"ya se arregló; sigue igual; necesito más pruebas; conectar técnico";"Se solucionó; Sigue el problema; Pruebas avanzadas; Conectar con técnico; Cerrar chat";"BTN_SOLVED, BTN_PERSIST, BTN_ADVANCED_TESTS, BTN_MORE_TESTS, BTN_CONNECT_TECH, BTN_CLOSE";"BTN_SOLVED → ENDED; BTN_PERSIST → ESCALATE; BTN_ADVANCED_TESTS/BTN_MORE_TESTS → ADVANCED_TESTS; BTN_CONNECT_TECH → CREATE_TICKET";"No entendido → BASIC_TESTS";"Regex afirmación/negación";"Puede saltar a ADVANCED_TESTS; ofrece técnico";"BTN_CONNECT_TECH → CREATE_TICKET; BTN_CLOSE → ENDED";"Informal profesional con emojis";ALTA;"Agregar mensaje de no entendido único y breve; opcional checklist de 2-3 pasos básicos antes de botones";"problemStatus";flows/flowDefinition.js;"Estado del problema para ticket";"BTN_CLOSE aparece tras persistencia; resto siempre"
ADVANCED_TESTS;Pruebas avanzadas;Recolectar resultado de pruebas avanzadas y decidir escalado;"ES: ¿Sirvieron las pruebas avanzadas? EN: Did the advanced checks help?";TEXTO_LIBRE,BOTON;"ya funciona; sigue fallando; necesito técnico";"Se solucionó; Sigue el problema; Conectar con técnico";"BTN_SOLVED, BTN_PERSIST, BTN_CONNECT_TECH";"BTN_SOLVED → ENDED; BTN_PERSIST/BTN_CONNECT_TECH → CREATE_TICKET";"No entendido → ADVANCED_TESTS";"Regex afirmación/negación";"";"BTN_CONNECT_TECH → CREATE_TICKET";"Informal profesional con emojis";MEDIA;"Añadir opción de repetir pasos o volver a básicos si el usuario lo pide";"problemStatus";flows/flowDefinition.js;"Estado del problema para ticket";"—"
ESCALATE;Escalamiento;Ofrecer más pruebas o conexión con técnico o cerrar;"ES: ¿Querés más pruebas o hablar con un técnico? EN: More tests or a technician?";TEXTO_LIBRE,BOTON;"más pruebas; técnico; cerrar";"Más pruebas; Técnico; Cerrar chat";"BTN_MORE_TESTS, BTN_ADVANCED_TESTS, BTN_CONNECT_TECH, BTN_CLOSE";"BTN_MORE_TESTS/BTN_ADVANCED_TESTS → ADVANCED_TESTS; BTN_CONNECT_TECH → CREATE_TICKET; BTN_CLOSE → ENDED";"No entendido → ESCALATE";"";"—";"BTN_CONNECT_TECH → CREATE_TICKET; BTN_CLOSE → ENDED";"Informal profesional con emojis";ALTA;"Evitar loops: si ya ofreció avanzadas, sugerir directo técnico; copy claro de cierre";"escalationChoice";flows/flowDefinition.js;"Deriva a ticket";"—"
CREATE_TICKET;Crear ticket;Generar ticket de soporte;"ES: ✅ Registro este problema como ticket interno con el contexto que tenemos. Si querés hablar con un técnico ahora, usá el botón ""Hablar con técnico"" para escribirnos por WhatsApp. EN: ✅ I’m logging this issue as an internal ticket with the context we have. If you want to talk with a technician now, use the ""Talk to a technician"" button to write to us on WhatsApp.";TEXTO_LIBRE;"(sistema)";"";"";"GENERATE_TICKET → TICKET_SENT";"MISMO_ESTADO si falla (no definido)";"";"";"Neutro, breve";PENDIENTE;"Confirmar qué campos mínimos se envían (nombre, dispositivo, problema, contacto)";"ticketData";flows/flowDefinition.js;"Ticket completo";"—"
TICKET_SENT;Ticket enviado;Confirmar ticket interno y guiar al botón técnico;"ES: ✅ Ticket interno creado. Si querés hablar con un técnico, usá el botón ""Hablar con técnico"" y escribinos por WhatsApp con el contexto. EN: ✅ Internal ticket created. To talk with a technician, use the ""Talk to a technician"" button and write to us on WhatsApp with the context.";TEXTO_LIBRE;"ok gracias";"";"";"END_CONVERSATION → ENDED";"MISMO_ESTADO si error";"";"";"Informal profesional con emojis";MEDIA;"Agregar ID de ticket si está disponible en la respuesta";"ticketId";flows/flowDefinition.js;"Ticket confirmado";"—"
ENDED;Conversación finalizada;Manejar cierre y permitir reinicio;"ES: Chat finalizado. Escribí ""hola"" para reiniciar. EN: Chat ended. Say ""hi"" to restart.";TEXTO_LIBRE;"hola; necesito ayuda; thanks";"Problema; Consulta (al reiniciar)";"BTN_PROBLEMA, BTN_CONSULTA";"Reinicio detectado → ASK_NEED; de lo contrario permanece";"No entendido → ENDED";"Regex saludo para reinicio";"Permite reiniciar desde fin";"";"Informal profesional con emojis";ALTA;"Asegurar que el mensaje de cierre recuerde que puede reiniciar; evitar responder en bucle sin valor";"";flows/flowDefinition.js;;"Botones solo al reiniciar"
